Code Domaine,Domaine,Code zone (FAO),Zone,Code ?l?ment,?l?ment,Code Mois,Mois,Code ann?e,Ann?e,Unit?,Valeur,Symbole,Description du Symbole
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7001","Janvier","2010","2010","?C","-1.738","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7001","Janvier","2011","2011","?C","0.777","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7001","Janvier","2012","2012","?C","2.087","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7001","Janvier","2013","2013","?C","0.603","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7001","Janvier","2014","2014","?C","3.179","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7001","Janvier","2015","2015","?C","1.436","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7001","Janvier","2016","2016","?C","2.683","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7001","Janvier","2017","2017","?C","-0.963","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7001","Janvier","2018","2018","?C","3.793","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7001","Janvier","2019","2019","?C","0.304","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7001","Janvier","2020","2020","?C","2.898","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7001","Janvier","2021","2021","?C","0.502","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7002","F?vrier","2010","2010","?C","-0.515","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7002","F?vrier","2011","2011","?C","1.691","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7002","F?vrier","2012","2012","?C","-3.032","Fc","Donn?e calcul?e"
